"","PMID","Title","Authors","Citation","First.Author","Journal.Book","Publication.Year","Create.Date","PMCID","NIHMS.ID","DOI"
"11",37492576,"Identification of potential ferroptosis-associated biomarkers in rheumatoid arthritis","He X, Zhang J, Gong M, Gu Y, Dong B, Pang X, Zhang C, Cui Y.","Front Immunol. 2023 Jul 10;14:1197275. doi: 10.3389/fimmu.2023.1197275. eCollection 2023.","He X","Front Immunol",2023,"2023/07/26","PMC10364059","","10.3389/fimmu.2023.1197275"
"12",36818726,"Comprehensive analysis of cuproptosis-related genes in immune infiltration in ischemic stroke","Fan X, Chen H, Jiang F, Xu C, Wang Y, Wang H, Li M, Wei W, Song J, Zhong D, Li G.","Front Neurol. 2023 Feb 2;13:1077178. doi: 10.3389/fneur.2022.1077178. eCollection 2022.","Fan X","Front Neurol",2023,"2023/02/23","PMC9933552","","10.3389/fneur.2022.1077178"
"13",37465687,"Identification and validation of immune-associated NETosis subtypes and biomarkers in anti-neutrophil cytoplasmic antibody associated glomerulonephritis","Tao M, He Y, Li L, Li Y, Liao W, Nie H, Gao P.","Front Immunol. 2023 Jul 3;14:1177968. doi: 10.3389/fimmu.2023.1177968. eCollection 2023.","Tao M","Front Immunol",2023,"2023/07/19","PMC10351423","","10.3389/fimmu.2023.1177968"
"14",37727371,"Integrated Analysis of Immune Infiltration and Hub Pyroptosis-Related Genes for Multiple Sclerosis","Zhang S, Ma Y, Luo X, Xiao H, Cheng R, Jiang A, Qin X.","J Inflamm Res. 2023 Sep 13;16:4043-4059. doi: 10.2147/JIR.S422189. eCollection 2023.","Zhang S","J Inflamm Res",2023,"2023/09/20","PMC10505586","","10.2147/JIR.S422189"
"15",37963970,"Bioinformatics analysis of immune cell infiltration patterns and potential diagnostic markers in atherosclerosis","Ji H, Yuan L, Jiang W, Jiang Y, Jiang M, Sun X, Chen J.","Sci Rep. 2023 Nov 14;13(1):19821. doi: 10.1038/s41598-023-47257-8.","Ji H","Sci Rep",2023,"2023/11/14","PMC10645850","","10.1038/s41598-023-47257-8"
"16",37796199,"Analysis and experimental validation of fatty acid metabolism-related genes prostacyclin synthase (PTGIS) in endometrial cancer","Wang B, Ge S, Wang Z, Wang W, Wang Y, Leng H, Ma X.","Aging (Albany NY). 2023 Oct 4;15(19):10322-10346. doi: 10.18632/aging.205080. Epub 2023 Oct 4.","Wang B","Aging (Albany NY)",2023,"2023/10/05","PMC10599728","","10.18632/aging.205080"
"17",35759515,"urPTMdb/TeaProt: Upstream and Downstream Proteomics Analysis","Molendijk J, Yip R, Parker BL.","J Proteome Res. 2023 Feb 3;22(2):302-310. doi: 10.1021/acs.jproteome.2c00048. Epub 2022 Jun 27.","Molendijk J","J Proteome Res",2023,"2022/06/27","PMC9904285","","10.1021/acs.jproteome.2c00048"
"18",38347955,"Novel tumor-associated macrophage populations and subpopulations by single cell RNA sequencing","Wang J, Zhu N, Su X, Gao Y, Yang R.","Front Immunol. 2024 Jan 29;14:1264774. doi: 10.3389/fimmu.2023.1264774. eCollection 2023.","Wang J","Front Immunol",2024,"2024/02/13","PMC10859433","","10.3389/fimmu.2023.1264774"
"19",36672879,"Analysis of CAT Gene Family and Functional Identification of OsCAT3 in Rice","Jiang W, Ye Q, Wu Z, Zhang Q, Wang L, Liu J, Hu X, Guo D, Wang X, Zhang Z, He H, Hu L.","Genes (Basel). 2023 Jan 4;14(1):138. doi: 10.3390/genes14010138.","Jiang W","Genes (Basel)",2023,"2023/01/21","PMC9858675","","10.3390/genes14010138"
"20",35680096,"simplifyEnrichment: A Bioconductor Package for Clustering and Visualizing Functional Enrichment Results","Gu Z, Hübschmann D.","Genomics Proteomics Bioinformatics. 2023 Feb;21(1):190-202. doi: 10.1016/j.gpb.2022.04.008. Epub 2022 Jun 6.","Gu Z","Genomics Proteomics Bioinformatics",2023,"2022/06/09","PMC10373083","","10.1016/j.gpb.2022.04.008"
"21",37178003,"MBROLE3: improved functional enrichment of chemical compounds for metabolomics data analysis","Lopez-Ibañez J, Pazos F, Chagoyen M.","Nucleic Acids Res. 2023 Jul 5;51(W1):W305-W309. doi: 10.1093/nar/gkad405.","Lopez-Ibañez J","Nucleic Acids Res",2023,"2023/05/13","PMC10320153","","10.1093/nar/gkad405"
"22",37088169,"The Neurogenetics of Functional Connectivity Alterations in Autism: Insights From Subtyping in 657 Individuals","Rasero J, Jimenez-Marin A, Diez I, Toro R, Hasan MT, Cortes JM.","Biol Psychiatry. 2023 Nov 15;94(10):804-813. doi: 10.1016/j.biopsych.2023.04.014. Epub 2023 Apr 22.","Rasero J","Biol Psychiatry",2023,"2023/04/23","","","10.1016/j.biopsych.2023.04.014"
"23",37522124,"Comprehensive analysis of ferritinophagy-related genes and immune infiltration landscape in diabetic retinopathy","Yu F, Wang C, Su Y, Chen T, Zhu W, Dong X, Ke W, Cai L, Yang S, Wan P.","Front Endocrinol (Lausanne). 2023 Jul 14;14:1177488. doi: 10.3389/fendo.2023.1177488. eCollection 2023.","Yu F","Front Endocrinol (Lausanne)",2023,"2023/07/31","PMC10377661","","10.3389/fendo.2023.1177488"
"24",37894720,"Identification and Functional Analysis of Drought-Responsive Long Noncoding RNAs in Maize Roots","Tang X, Li Q, Feng X, Yang B, Zhong X, Zhou Y, Wang Q, Mao Y, Xie W, Liu T, Tang Q, Guo W, Wu F, Feng X, Wang Q, Lu Y, Xu J.","Int J Mol Sci. 2023 Oct 10;24(20):15039. doi: 10.3390/ijms242015039.","Tang X","Int J Mol Sci",2023,"2023/10/28","PMC10606207","","10.3390/ijms242015039"
"25",37177999,"miEAA 2023: updates, new functional microRNA sets and improved enrichment visualizations","Aparicio-Puerta E, Hirsch P, Schmartz GP, Kern F, Fehlmann T, Keller A.","Nucleic Acids Res. 2023 Jul 5;51(W1):W319-W325. doi: 10.1093/nar/gkad392.","Aparicio-Puerta E","Nucleic Acids Res",2023,"2023/05/13","PMC10320052","","10.1093/nar/gkad392"
"26",37098923,"Comparative Functional Genome Analysis Reveals the Habitat Adaptation and Biocontrol Characteristics of Plant Growth-Promoting Bacteria in NCBI Databases","Wang Z, Lu K, Liu X, Zhu Y, Liu C.","Microbiol Spectr. 2023 Jun 15;11(3):e0500722. doi: 10.1128/spectrum.05007-22. Epub 2023 Apr 26.","Wang Z","Microbiol Spectr",2023,"2023/04/26","PMC10269705","","10.1128/spectrum.05007-22"
"27",37905111,"Regulatory Landscape Enrichment Analysis (RLEA) using gaiaAssociation","Sosa EA, Rosean S, O'Shea D, Raj SM, Seoighe C, Greally JM.","bioRxiv [Preprint]. 2023 Oct 16:2023.10.11.561933. doi: 10.1101/2023.10.11.561933.","Sosa EA","bioRxiv",2023,"2023/10/31","PMC10614734","","10.1101/2023.10.11.561933"
"28",37389070,"Integrated bioinformatics analysis reveals the function and prognostic value of OSBPL3 in hepatocellular carcinoma","Su Y, Xue C, Gu X, Sun Y, Zhang R, Li L.","Heliyon. 2023 Jun 12;9(6):e17223. doi: 10.1016/j.heliyon.2023.e17223. eCollection 2023 Jun.","Su Y","Heliyon",2023,"2023/06/30","PMC10300319","","10.1016/j.heliyon.2023.e17223"
"29",37260078,"DIANA-miRPath v4.0: expanding target-based miRNA functional analysis in cell-type and tissue contexts","Tastsoglou S, Skoufos G, Miliotis M, Karagkouni D, Koutsoukos I, Karavangeli A, Kardaras FS, Hatzigeorgiou AG.","Nucleic Acids Res. 2023 Jul 5;51(W1):W154-W159. doi: 10.1093/nar/gkad431.","Tastsoglou S","Nucleic Acids Res",2023,"2023/06/01","PMC10320185","","10.1093/nar/gkad431"
"30",36463761,"Single-cell analysis reveals distinct functional heterogeneity of CD34(+) cells in anagen wound and diabetic wound","He J, Huang W, Wang J, Li G, Xin Q, Lin Z, Chen X, Wang X.","Biochem Biophys Res Commun. 2023 Jan 8;639:9-19. doi: 10.1016/j.bbrc.2022.11.080. Epub 2022 Nov 28.","He J","Biochem Biophys Res Commun",2023,"2022/12/04","","","10.1016/j.bbrc.2022.11.080"
"31",37565899,"Single-cell and bulk RNA sequencing reveal cancer-associated fibroblast heterogeneity and a prognostic signature in prostate cancer","Liu W, Wang M, Wang M, Liu M.","Medicine (Baltimore). 2023 Aug 11;102(32):e34611. doi: 10.1097/MD.0000000000034611.","Liu W","Medicine (Baltimore)",2023,"2023/08/11","PMC10419654","","10.1097/MD.0000000000034611"
"32",37035732,"Mitochondrial non-coding RNA in nasopharyngeal carcinoma: Clinical diagnosis and functional analysis","Wang F, Li X, Li C.","Front Genet. 2023 Mar 23;14:1162332. doi: 10.3389/fgene.2023.1162332. eCollection 2023.","Wang F","Front Genet",2023,"2023/04/10","PMC10076541","","10.3389/fgene.2023.1162332"
"33",36900179,"Genomic Alterations, Gene Expression Profiles and Functional Enrichment of Normal-Karyotype Acute Myeloid Leukaemia Based on Targeted Next-Generation Sequencing","Ambayya A, Razali R, Sulong S, Zulkefli ES, Yap YY, Sathar J, Hassan R.","Cancers (Basel). 2023 Feb 22;15(5):1386. doi: 10.3390/cancers15051386.","Ambayya A","Cancers (Basel)",2023,"2023/03/11","PMC10000176","","10.3390/cancers15051386"
"34",36765431,"Exploration of the underlying comorbidity mechanism in psoriasis and periodontitis: a bioinformatics analysis","Lei H, Chen X, Wang Z, Xing Z, Du W, Bai R, He K, Zhang W, Wang Y, Zheng Y.","Hereditas. 2023 Feb 10;160(1):7. doi: 10.1186/s41065-023-00266-z.","Lei H","Hereditas",2023,"2023/02/11","PMC9912623","","10.1186/s41065-023-00266-z"
"35",36896551,"Integrated whole transcriptome analysis for the crucial regulators and functional pathways related to cardiac fibrosis in rats","Miao S, Wang L, Guan S, Gu T, Wang H, Shangguan W, Wang W, Liu Y, Liang X.","Math Biosci Eng. 2023 Jan 12;20(3):5413-5429. doi: 10.3934/mbe.2023250.","Miao S","Math Biosci Eng",2023,"2023/03/10","","","10.3934/mbe.2023250"
"36",37759179,"Analysis of asymptomatic Drosophila models for ALS and SMA reveals convergent impact on functional protein complexes linked to neuro-muscular degeneration","Garcia-Vaquero ML, Heim M, Flix B, Pereira M, Palin L, Marques TM, Pinto FR, de Las Rivas J, Voigt A, Besse F, Gama-Carvalho M.","BMC Genomics. 2023 Sep 27;24(1):576. doi: 10.1186/s12864-023-09562-4.","Garcia-Vaquero ML","BMC Genomics",2023,"2023/09/27","PMC10523761","","10.1186/s12864-023-09562-4"
"37",37197583,"Transcriptomic and metabolomic analysis of autumn leaf color change in Fraxinus angustifolia","Wang Y, Zhen J, Che X, Zhang K, Zhang G, Yang H, Wen J, Wang J, Wang J, He B, Yu A, Li Y, Wang Z.","PeerJ. 2023 May 12;11:e15319. doi: 10.7717/peerj.15319. eCollection 2023.","Wang Y","PeerJ",2023,"2023/05/17","PMC10184661","","10.7717/peerj.15319"
"38",37905960,"Integrated analysis of single-cell and bulk RNA-sequencing data reveals the prognostic value and molecular function of THSD7A in gastric cancer","Shen K, Chen B, Yang L, Gao W.","Aging (Albany NY). 2023 Oct 30;15(21):11940-11969. doi: 10.18632/aging.205158. Epub 2023 Oct 30.","Shen K","Aging (Albany NY)",2023,"2023/10/31","PMC10683630","","10.18632/aging.205158"
"39",37841912,"Transcriptome-wide analysis of trigeminal ganglion and subnucleus caudalis in a mouse model of chronic constriction injury-induced trigeminal neuralgia","Cui X, Qin B, Xia C, Li H, Li Z, Li Z, Nasir A, Bai Q.","Front Pharmacol. 2023 Sep 28;14:1230633. doi: 10.3389/fphar.2023.1230633. eCollection 2023.","Cui X","Front Pharmacol",2023,"2023/10/16","PMC10568182","","10.3389/fphar.2023.1230633"
"40",38041082,"Integrated analysis of microRNA and mRNA expression profiles in Preeclampsia","Ping Z, Feng Y, Lu Y, Ai L, Jiang H.","BMC Med Genomics. 2023 Dec 1;16(1):309. doi: 10.1186/s12920-023-01740-3.","Ping Z","BMC Med Genomics",2023,"2023/12/01","PMC10691005","","10.1186/s12920-023-01740-3"
"41",36831275,"Functional Analysis of a Multiple-Domain CTL15 in the Innate Immunity, Eclosion, and Reproduction of Tribolium castaneum","Wang S, Ai H, Zhang Y, Bi J, Gao H, Chen P, Li B.","Cells. 2023 Feb 13;12(4):608. doi: 10.3390/cells12040608.","Wang S","Cells",2023,"2023/02/25","PMC9954269","","10.3390/cells12040608"
"42",36512705,"Cytoscape stringApp 2.0: Analysis and Visualization of Heterogeneous Biological Networks","Doncheva NT, Morris JH, Holze H, Kirsch R, Nastou KC, Cuesta-Astroz Y, Rattei T, Szklarczyk D, von Mering C, Jensen LJ.","J Proteome Res. 2023 Feb 3;22(2):637-646. doi: 10.1021/acs.jproteome.2c00651. Epub 2022 Dec 13.","Doncheva NT","J Proteome Res",2023,"2022/12/13","PMC9904289","","10.1021/acs.jproteome.2c00651"
"43",37761827,"Identification and Analysis of Sex-Biased MicroRNAs in Human Diseases","Zhong B, Cui C, Cui Q.","Genes (Basel). 2023 Aug 25;14(9):1688. doi: 10.3390/genes14091688.","Zhong B","Genes (Basel)",2023,"2023/09/28","PMC10531062","","10.3390/genes14091688"
"44",37816914,"The histone acetyl transferases CBP and p300 regulate stress response pathways in synovial fibroblasts at transcriptional and functional levels","Krošel M, Gabathuler M, Moser L, Maciukiewicz M, Züllig T, Seifritz T, Tomšič M, Distler O, Ospelt C, Klein K.","Sci Rep. 2023 Oct 10;13(1):17112. doi: 10.1038/s41598-023-44412-z.","Krošel M","Sci Rep",2023,"2023/10/10","PMC10564874","","10.1038/s41598-023-44412-z"
"45",36823365,"Comparative analysis of EpCAM high-expressing and low-expressing circulating tumour cells with regard to their clonal relationship and clinical value","Franken A, Kraemer A, Sicking A, Watolla M, Rivandi M, Yang L, Warfsmann J, Polzer BM, Friedl TWP, Meier-Stiegen F, Stoecklein NH, Dayan D, Riethdorf S, Mueller V, Pantel K, Koch A, Hartkopf AD, Krawczyk N, Ruckhaeberle E, Niederacher D, Fehm T, Neubauer H.","Br J Cancer. 2023 May;128(9):1742-1752. doi: 10.1038/s41416-023-02179-0. Epub 2023 Feb 23.","Franken A","Br J Cancer",2023,"2023/02/24","PMC10133238","","10.1038/s41416-023-02179-0"
"46",37171359,"Cancer-specific functional profiling in microsatellite-unstable (MSI) colon and endometrial cancers using combined differentially expressed genes and biclustering analysis","Na W, Lee IJ, Koh I, Kwon M, Song YS, Lee SH.","Medicine (Baltimore). 2023 May 12;102(19):e33647. doi: 10.1097/MD.0000000000033647.","Na W","Medicine (Baltimore)",2023,"2023/05/12","PMC10174364","","10.1097/MD.0000000000033647"
"47",36819552,"Network and pathway-based analysis of genes associated with esophageal squamous cell carcinoma","He W, Yuan K, He J, Wang C, Peng L, Han Y, Chen N.","Ann Transl Med. 2023 Jan 31;11(2):102. doi: 10.21037/atm-22-6512.","He W","Ann Transl Med",2023,"2023/02/23","PMC9929830","","10.21037/atm-22-6512"
"48",37318459,"Screening and bioinformatics analysis of senile osteoporosis genes based on GEO database","Wu LL, Zhou JX, Jia YM, Leng H.","Eur Rev Med Pharmacol Sci. 2023 Jun;27(11):4857-4864. doi: 10.26355/eurrev_202306_32602.","Wu LL","Eur Rev Med Pharmacol Sci",2023,"2023/06/15","","","10.26355/eurrev_202306_32602"
"49",37895266,"Transcriptome Analysis and QTL Mapping Identify Candidate Genes and Regulatory Mechanisms Related to Low-Temperature Germination Ability in Maize","Du L, Peng X, Zhang H, Xin W, Ma K, Liu Y, Hu G.","Genes (Basel). 2023 Oct 8;14(10):1917. doi: 10.3390/genes14101917.","Du L","Genes (Basel)",2023,"2023/10/28","PMC10606144","","10.3390/genes14101917"
"50",37335681,"Comprehensive analysis of femoral head necrosis based on machine learning and bioinformatics analysis","Chen Z, Jiang Y, Wu S, Dang M.","Medicine (Baltimore). 2023 Jun 9;102(23):e33963. doi: 10.1097/MD.0000000000033963.","Chen Z","Medicine (Baltimore)",2023,"2023/06/19","PMC10256394","","10.1097/MD.0000000000033963"
"51",37869636,"COL3A1, COL5A1 and COL6A2 serve as potential molecular biomarkers for osteoarthritis based on weighted gene co‑expression network analysis bioinformatics analysis","Zhang Y, Niu Y, Peng Y, Pan X, Wang F.","Exp Ther Med. 2023 Oct 2;26(5):540. doi: 10.3892/etm.2023.12239. eCollection 2023 Nov.","Zhang Y","Exp Ther Med",2023,"2023/10/23","PMC10587888","","10.3892/etm.2023.12239"
"52",36810892,"Systematic analysis identifies REST as an oncogenic and immunological biomarker in glioma","Wang G, Yang X, Qi M, Li M, Dong M, Xu R, Zhang C.","Sci Rep. 2023 Feb 21;13(1):3023. doi: 10.1038/s41598-023-30248-0.","Wang G","Sci Rep",2023,"2023/02/22","PMC9944962","","10.1038/s41598-023-30248-0"
"53",37195130,"ATP-Coated Dual-Functionalized Titanium(IV) IMAC Material for Simultaneous Enrichment and Separation of Glycopeptides and Phosphopeptides","Wang D, Huang J, Zhang H, Ma M, Xu M, Cui Y, Shi X, Li L.","J Proteome Res. 2023 Jun 2;22(6):2044-2054. doi: 10.1021/acs.jproteome.3c00118. Epub 2023 May 17.","Wang D","J Proteome Res",2023,"2023/05/17","PMC11138137","NIHMS1992247","10.1021/acs.jproteome.3c00118"
"54",36611198,"LncRNA-mRNA expression profile and functional network of vascular dysfunction in septic rats","Han YC, Shen ZJ, Wang YN, Xiang RL, Xie HZ.","Eur J Med Res. 2023 Jan 7;28(1):11. doi: 10.1186/s40001-022-00961-z.","Han YC","Eur J Med Res",2023,"2023/01/07","PMC9824925","","10.1186/s40001-022-00961-z"
"55",38078092,"Structure and functional divergence of PIP peptide family revealed by functional studies on PIP1 and PIP2 in Arabidopsis thaliana","Yu XS, Wang HR, Lei FF, Li RQ, Yao HP, Shen JB, Ain NU, Cai Y.","Front Plant Sci. 2023 Nov 24;14:1208549. doi: 10.3389/fpls.2023.1208549. eCollection 2023.","Yu XS","Front Plant Sci",2023,"2023/12/11","PMC10704477","","10.3389/fpls.2023.1208549"
"56",36938972,"Integrative transcriptome and proteome analysis reveals maize responses to Fusarium verticillioides infection inside the stalks","Zhang L, Hou M, Zhang X, Cao Y, Sun S, Zhu Z, Han S, Chen Y, Ku L, Duan C.","Mol Plant Pathol. 2023 Jul;24(7):693-710. doi: 10.1111/mpp.13317. Epub 2023 Mar 20.","Zhang L","Mol Plant Pathol",2023,"2023/03/20","PMC10257047","","10.1111/mpp.13317"
"57",38004354,"What Links Chronic Kidney Disease and Ischemic Cardiomyopathy? A Comprehensive Bioinformatic Analysis Utilizing Bulk and Single-Cell RNA Sequencing Data with Machine Learning","Yang L, Chen Y, Huang W.","Life (Basel). 2023 Nov 16;13(11):2215. doi: 10.3390/life13112215.","Yang L","Life (Basel)",2023,"2023/11/25","PMC10672726","","10.3390/life13112215"
"58",36896881,"Bioinformatics analysis and verification of m6A related genes based on the construction of keloid diagnostic model","Yang R, Wang X, Zheng W, Chen W, Gan W, Qin X, Huang J, Chen X, Zhou S.","Int Wound J. 2023 Sep;20(7):2700-2717. doi: 10.1111/iwj.14144. Epub 2023 Mar 10.","Yang R","Int Wound J",2023,"2023/03/10","PMC10410345","","10.1111/iwj.14144"
"59",37954266,"Identification and validation of a novel signature based on T cell marker genes to predict prognosis, immunotherapy response and chemotherapy sensitivity in head and neck squamous carcinoma by integrated analysis of single-cell and bulk RNA-sequencing","Zhou C, Deng H, Fang Y, Wei Z, Shen Y, Qiu S, Ye D, Shen Z, Shen Y.","Heliyon. 2023 Oct 21;9(11):e21381. doi: 10.1016/j.heliyon.2023.e21381. eCollection 2023 Nov.","Zhou C","Heliyon",2023,"2023/11/13","PMC10632748","","10.1016/j.heliyon.2023.e21381"
"60",36983615,"Immunocyte Infiltration Analysis and Immunohistochemistry Identify EVL as a Potential Prognostic Biomarker for Pancreatic Cancer","Du Y, Zhu L, Li X, Shi H, Jiang W, Zhou W.","J Pers Med. 2023 Feb 28;13(3):433. doi: 10.3390/jpm13030433.","Du Y","J Pers Med",2023,"2023/03/29","PMC10054004","","10.3390/jpm13030433"
"61",37064084,"Comprehensive analysis of the expression and prognosis for RAI2: A promising biomarker in breast cancer","Jiao Y, Li S, Gong J, Zheng K, Xie Y.","Front Oncol. 2023 Mar 29;13:1134149. doi: 10.3389/fonc.2023.1134149. eCollection 2023.","Jiao Y","Front Oncol",2023,"2023/04/17","PMC10090471","","10.3389/fonc.2023.1134149"
"62",37449198,"Identification of ACKR4 as an immune checkpoint in pulmonary arterial hypertension","Jiang CY, Wu LW, Liu YW, Feng B, Ye LC, Huang X, He YY, Shen Y, Zhu YF, Zhou XL, Jiang DJ, Qi HK, Zhang H, Yan Y.","Front Immunol. 2023 Jun 28;14:1153573. doi: 10.3389/fimmu.2023.1153573. eCollection 2023.","Jiang CY","Front Immunol",2023,"2023/07/14","PMC10337759","","10.3389/fimmu.2023.1153573"
"63",38065877,"Identification and subtype analysis of biomarkers associated with the solute carrier family in acute myocardial infarction","Qi Z, Pu Y, Guo H, Tang W, Xiong Y, Ran B.","Medicine (Baltimore). 2023 Dec 8;102(49):e36515. doi: 10.1097/MD.0000000000036515.","Qi Z","Medicine (Baltimore)",2023,"2023/12/08","PMC10713157","","10.1097/MD.0000000000036515"
"64",37901817,"Oxygen enrichment protects against intestinal damage and gut microbiota disturbance in rats exposed to acute high-altitude hypoxia","Ma Q, Ma J, Cui J, Zhang C, Li Y, Liu J, Xie K, Luo E, Tang C, Zhai M.","Front Microbiol. 2023 Oct 12;14:1268701. doi: 10.3389/fmicb.2023.1268701. eCollection 2023.","Ma Q","Front Microbiol",2023,"2023/10/30","PMC10600524","","10.3389/fmicb.2023.1268701"
"65",37055418,"Pan-cancer analysis reveals IGFL2 as a potential target for cancer prognosis and immunotherapy","Wang Y, Yuan H, Yue G, Zhao L, Xia Y, Zhang N, Li H, Liu D, Su Y, Wang H, Gao Y.","Sci Rep. 2023 Apr 13;13(1):6034. doi: 10.1038/s41598-023-27602-7.","Wang Y","Sci Rep",2023,"2023/04/13","PMC10101991","","10.1038/s41598-023-27602-7"
"66",36507689,"Structural and Functional Characterization of Rv0792c from Mycobacterium tuberculosis: Identifying Small Molecule Inhibitor against HutC Protein","Chauhan NK, Anand A, Sharma A, Dhiman K, Gosain TP, Singh P, Singh P, Khan E, Chattopadhyay G, Kumar A, Sharma D, Ashish, Sharma TK, Singh R.","Microbiol Spectr. 2023 Feb 14;11(1):e0197322. doi: 10.1128/spectrum.01973-22. Epub 2022 Dec 12.","Chauhan NK","Microbiol Spectr",2023,"2022/12/12","PMC9927256","","10.1128/spectrum.01973-22"
"67",37006258,"Bioinformatics analysis reveals the potential role of matrix metalloproteinases in immunity and urolithiasis","Hong SY, Jiang HC, Xu WC, Zeng HS, Wang SG, Qin BL.","Front Immunol. 2023 Mar 15;14:1158379. doi: 10.3389/fimmu.2023.1158379. eCollection 2023.","Hong SY","Front Immunol",2023,"2023/04/03","PMC10050583","","10.3389/fimmu.2023.1158379"
"68",37441091,"Tox21Enricher-Shiny: an R Shiny application for toxicity functional annotation analysis","Combs P, Erickson J, Hsieh JH, Guo K, Nolte S, Schmitt C, Auerbach S, Hur J.","Front Toxicol. 2023 Jun 27;5:1147608. doi: 10.3389/ftox.2023.1147608. eCollection 2023.","Combs P","Front Toxicol",2023,"2023/07/13","PMC10333489","","10.3389/ftox.2023.1147608"
"69",38051754,"Transcriptomic and functional screening of weapon formation genes implies significance of cell adhesion molecules and female-biased genes in broad-horned flour beetle","Sugiyama M, Ozawa T, Ohta K, Okada K, Niimi T, Yamaguchi K, Shigenobu S, Okada Y.","PLoS Genet. 2023 Dec 5;19(12):e1011069. doi: 10.1371/journal.pgen.1011069. eCollection 2023 Dec.","Sugiyama M","PLoS Genet",2023,"2023/12/05","PMC10723671","","10.1371/journal.pgen.1011069"
