"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"861","GO:0071216","cellular response to biotic stimulus",248,110,80.17,547,0.026,4.5e-05,"Abca1,Adam9,Ahr,Aicda,Akap8,Akt1,Arid5a,Atg10,Axl,B2m,Bcl2l11,Bcr,Bid,Casp1,Casp7,Cd300lb,Cd55,Cd55b,Cd80,Cd84,Cd86,Cebpb,Ctr9,Cx3cr1,Cxcl10,Cxcl13,Cxcl2,Cxcl3,Dab2ip,Eif2ak3,Eme1,Fzd5,Gata1,Gbp10,Gbp2b,Gbp3,Gbp6,Gch1,Gfi1,Git1,Gsk3b,Gstp1,Havcr2,Hmgb1,Hspa5,Il10,Il2,Il6,Ins2,Irak1,Irak2,Irak4,Jak2,Klrk1,Lbp,Lilrb4a,Litaf,Ltf,Ly96,Lyn,Malt1,Map2k3,Mapk1,Mapk14,Mtdh,Ncl,Nfkb1,Nfkbia,Nfkbil1,Nod2,Nos3,Notch1,Nr2c2,Pdcd1lg2,Pde4b,Pde4d,Plscr1,Plscr3,Ppm1e,Prdx2,Prkca,Ptpn22,Pycard,Rara,Selenos,Serpine1,Smc1a,Stap1,Tbxa2r,Ticam1,Ticam2,Tirap,Tlr1,Tlr2,Tmco1,Tnfaip3,Tnfrsf1b,Tnfsf4,Tnip3,Traf6,Trib1,Trim12a,Trim30c,Trim30d,Trim5,Trp53,Txnip,Vim,Zc3h12a,Zmpste24"
"862","GO:0046633","alpha-beta T cell proliferation",73,37,23.6,843,0.02609,0.00085,"Card11,Ccr2,Cd244a,Cd3e,Cd44,Cd55,Cd55b,Cd80,Cd81,Dock2,Elf4,Foxp3,H2-D1,H2-K1,H2-Q1,H2-Q4,H2-Q6,H2-Q7,H2-T23,Il18,Il2,Il2ra,Itch,Jak2,Lilrb4a,Mapk8ip1,Myc,Ndfip1,Prkcq,Ptpn22,Sh3rf1,Tnfsf4,Twsg1,Tyk2,Vsir,Xcl1,Zap70"
"863","GO:0051223","regulation of protein transport",483,202,156.13,425,0.02615,5.8e-06,"Aacs,Acsl3,Acsl4,Acvr1c,Adam9,Adora2a,Ahi1,Ang,Anp32b,Anxa1,Anxa5,Anxa7,Apbb1,Arf6,Arfip1,Arhgef5,Atg7,Atp13a2,Atp2c1,B3gat3,Bad,Bag3,Baiap3,Bard1,Bcap31,Birc5,Bmal1,Brca1,Bsg,C1qtnf12,Cabp1,Cacna1d,Camk2n1,Ccl5,Cd2ap,Cd38,Cd81,Cdc42,Cdk1,Cdk5,Cdkn2a,Cep290,Cln3,Cnst,Commd1,Cyp51,Derl2,Dnajc1,Drd3,Ect2,Edem1,Efcab7,Ei24,Eif3e,Emd,Ensa,Ergic3,Erlec1,Erp29,Exph5,F2r,F2rl2,Foxo1,Frat1,Fto,Gapvd1,Gja1,Gnaq,Gnas,Golph3,Gpld1,Gpr68,Gsk3b,Hadh,Hcls1,Hif1a,Hmgn3,Hnrnpm,Ice1,Ifi27,Il6,Ins2,Ipo5,Irs2,Jak2,Jup,Kcnb1,Kcnn4,Kif20b,Kif3a,Klf7,Lcp1,Llgl1,Lrp1,Madd,Map4k4,Mapk1,Mapk14,Mdfic,Mdm2,Mpc2,Myh10,Myh9,Nadk,Ncoa6,Ndfip1,Ndufaf2,Neo1,Nolc1,Oaz1,Oaz2,Oaz3,Orai1,Os9,Pard6a,Pck2,Pcsk1,Pde3b,Pfkl,Pfkm,Pgrmc1,Picalm,Pik3r1,Pim3,Pkdcc,Pkia,Pkig,Pla2g6,Plk3,Pparg,Ppm1f,Prkaca,Prkar1a,Prkcd,Prkcq,Prkcz,Psen1,Ptbp1,Ptger3,Ptger4,Ptpmt1,Ptpn22,Ptpn5,Ptprv,Rab11a,Rab11fip1,Rab23,Rab29,Rac1,Rack1,Ran,Rangap1,Rapgef4,Rest,Rhbdd3,Rhbdf1,Ripor1,Rptor,Sar1b,Sec24a,Selenok,Septin8,Sfn,Sirt3,Sirt4,Slc25a22,Slc8b1,Slc9b2,Sox4,Sp100,Src,Sri,Sumo1,Tardbp,Tbc1d1,Tcf7l2,Tgfb1,Tgfb3,Tiam1,Tlr2,Tm7sf3,Tmed10,Tmem132a,Tmem30a,Tmem30b,Tnfrsf1a,Trpm4,Ttn,Txn1,Ubac2,Ube2j1,Ucp2,Uqcc2,Vamp4,Vamp8,Vegfc,Wipf1,Wls,Yod1,Ywhae,Zc3h12a,Zdhhc2"
"864","GO:0002285","lymphocyte activation involved in immune response",205,101,66.27,319,0.02639,3.1e-07,"6030468B19Rik,Ada,Aicda,Anxa1,Apbb1ip,Atad5,Atp7a,Batf,Brd2,Brd4,Ccr2,Ccr6,Ccr7,Cd160,Cd244a,Cd40lg,Cd74,Cd81,Clcf1,Coro1a,Cracr2a,Dll1,Dock11,Enpp1,Entpd7,Eomes,Exo1,Exosc3,Fgl2,Foxp1,Foxp3,Gadd45g,Gata3,Gpr183,H2-M3,Havcr2,Hmces,Hmgb1,Hspd1,Icam1,Icosl,Il10,Il18,Il18r1,Il2,Il4ra,Il6,Il6ra,Irf4,Itfg2,Itgal,Itm2a,Jak3,Kmt2a,Lamp1,Lcp1,Lef1,Lgals1,Lgals3,Lilrb4a,Loxl3,Malt1,Nbn,Ndfip1,Nfkbid,Nkg7,Nsd2,Parp3,Pdp2,Pglyrp1,Pou2af1,Prkcz,Psen1,Psen2,Ptger4,Rara,Relb,Rif1,Rora,Rps6,Sema4a,Slamf6,Slc11a1,Smad7,Socs5,Spn,St3gal1,Stat3,Stat6,Stx11,Swap70,Tbx21,Tgfb1,Tmem98,Tnfaip3,Tnfsf4,Trp53,Trp53bp1,Unc13d,Zc3h12a,Zfp35"
"865","GO:0045638","negative regulation of myeloid cell differentiation",92,39,29.74,1790,0.02641,0.02696,"Bmyc,Cdk6,Cib1,Ctr9,Dll1,Fstl3,Gpr137,Gpr137b,Gpr171,Gpr55,Gpr68,Hmgb3,Hspa9,Inpp4b,Inpp5d,Itpkb,Klf13,Lilrb4a,Lilrb4b,Lmo2,Lyn,Meis1,Myc,Nfkbia,Pias3,Pik3r1,Prmt1,Rara,Rbm15,Runx1,Skic8,Stat5a,Stat5b,Tcta,Tjp2,Trib1,Ubash3b,Ypel4,Zfp36l1"
"866","GO:1905521","regulation of macrophage migration",47,22,15.19,1785,0.02641,0.02681,"Abr,Akirin1,Bcr,Ccl5,Ccr2,Ccr7,Cd200r1,Cd81,Cd9,Csf1,Cx3cr1,Cxcl17,Emilin1,Mapk1,Mmp14,P2rx4,Ptk2,Ptprj,Rtn4,Slamf1,Stap1,Thbs1"
"867","GO:0071168","protein localization to chromatin",47,22,15.19,1786,0.02641,0.02681,"Airn,Brd2,Cenpa,Daxx,Esco2,Ezh2,H1f5,H2ac4,Jarid2,Lef1,Lemd2,Macroh2a1,Mms22l,Nipbl,Plk1,Ruvbl2,Tasor,Tonsl,Vcp,Vrk1,Wapl,Wbp2"
"868","GO:0050818","regulation of coagulation",60,27,19.4,1789,0.02646,0.02691,"Ano6,Anxa2,Anxa5,Cd9,Enpp4,F2r,Hpse,Klkb1,Nfe2l2,Plat,Plaur,Prdx2,Prkcd,Psen1,Psen2,Psg23,Serpinc1,Serpine1,Serpine2,Sh2b3,St3gal4,Tbxa2r,Tfpi,Thbs1,Tmx1,Ubash3b,Vkorc1"
"869","GO:0007044","cell-substrate junction assembly",96,48,31.03,683,0.02647,0.00024,"Actg1,Actn1,Actn2,Actn3,Acvrl1,Bcl2,Bcr,Col16a1,Coro2b,Cttn,Dapk3,Dst,Dusp3,Enpp2,Epb41l5,Fmn1,Iqgap1,Itga2,Itga5,Itgav,Itgb1bp1,Itgb3,Lama3,Lamc1,Lims1,Lrp1,Macf1,Map4k4,Mmp14,Myh9,Nrp1,Pdpk1,Plec,Poldip2,Ppm1f,Pten,Ptk2,Ptprj,Rac1,Rhod,Rock1,S100a10,Sdc4,Smad3,Sorbs1,Src,Tesk2,Whamm"
"870","GO:0031334","positive regulation of protein-containing complex assembly",203,79,65.62,1791,0.02649,0.0273,"Abca1,Actr3,Ahr,Apc,Arf6,Arhgef5,Arpc2,Atm,Bak1,Bax,Bbc3,Bcl2l11,Bid,Bik,Bin1,Bmf,Carmil1,Casp4,Cdc42ep3,Cdc42ep4,Cdkn1b,Clip1,Crbn,Cttn,Cxcl13,Dab2ip,Eif4g1,Epn1,Evl,Fas,Fchsd2,Fer,Fmn1,Fnip2,Git1,Grb2,Gsk3b,Hip1r,Icam1,Ice1,Ikzf1,Isg15,Lcp1,Lgals3,Map3k1,Mpp7,Msn,Mtln,Myo1c,Nck2,Nek7,Pak1,Pfn2,Plek,Ppp2ca,Psrc1,Ptpn22,Pycard,Rac1,Rack1,Rhoc,Rictor,Rps3,Skap1,Slf1,Slf2,Snx9,Src,Stmp1,Sumo1,Terf1,Tgfb1,Tirap,Tppp3,Trim65,Trp53,Usp50,Vasp,Vcp"
"871","GO:1901565","organonitrogen compound catabolic process",1333,547,430.9,130,0.02664,2.7e-12,"Abca2,Abcd1,Abhd10,Abhd12,Abhd17a,Abhd17b,Abhd17c,Acadl,Acat1,Acot7,Actn3,Ada,Adal,Adam10,Adam8,Adam9,Adpgk,Agap2,Agtpbp1,Ahcy,Ahcyl,Aicda,Akt1,Alad,Aldh1l1,Aldh4a1,Aldh6a1,Aldoa,Aldoart1,Aldoart2,Aldoc,Amdhd1,Amdhd2,Amer1,Amfr,Amn1,Anapc10,Anapc4,Anapc5,Anxa2,Apc,Aqp11,Arel1,Armc8,Arrb2,Arsb,Art2a,Asah1,Asah2,Asb2,Asrgl1,Atg5,Atg7,Atm,Atp13a2,Atp2b4,Atp5if1,Atraid,Aup1,Aurka,Axin2,Azin1,Bag2,Banp,Bcap31,Bcat2,Bckdhb,Bckdk,Blmh,Blvra,Bmal1,Bpgm,Calr,Canx,Capn3,Capns1,Casp3,Casp7,Casp8,Cast,Ccdc22,Cd2ap,Cd44,Cd81,Cdc20,Cdc23,Cdc26,Cdc27,Cdc34,Cdc34b,Cdkn2a,Cela1,Cemip2,Chil5,Chmp2a,Chmp4b,Chmp4c,Clgn,Cln3,Commd1,Comt,Cop1,Cpq,Crbn,Crebrf,Csnk1a1,Csnk1d,Csnk2a2,Cst3,Ctbs,Ctsa,Ctsb,Ctsh,Ctsl,Ctss,Ctsw,Ctsz,Cul1,Cul9,Cyp51,Dab2ip,Dcaf1,Dcaf11,Dcaf12,Dctpp1,Dera,Derl1,Derl2,Desi1,Det1,Dld,Dnaaf4,Dnajb9,Dnph1,Dpep2,Dpp4,Dpp7,Dtl,Dut,Ece1,Edem1,Eif2ak3,Enc1,Eno1,Eno1b,Eno2,Eno3,Enpp1,Enpp2,Enpp4,Entpd1,Entpd5,Entpd7,Erlec1,Ern1,Etfa,Etfb,Ezr,Fam83d,Fbxl12,Fbxl17,Fbxl2,Fbxl22,Fbxl4,Fbxl5,Fbxl8,Fbxo11,Fbxo17,Fbxo22,Fbxo27,Fbxo3,Fbxo31,Fbxo33,Fbxo4,Fbxo44,Fbxo6,Fbxo8,Fbxw11,Fbxw8,Fem1c,Foxk1,Foxo1,Furin,Fyn,Fzr1,Gabarap,Gabarapl2,Gad1,Gale,Galns,Galt,Gapdh,Gapdhrt2,Gclc,Gga3,Ggact,Ggt5,Ggt7,Gid4,Git1,Gja1,Gla,Glmn,Gm2a,Gmpr2,Gna12,Gnpda1,Gnpda2,Gns,Got2,Gpld1,Gpx1,Grn,Gsk3b,Gzma,H13,Hdac6,Hectd3,Herc3,Hgsnat,Hif1a,Hint1,Hk1,Hk2,Hk3,Hmgcl,Hmmr,Hprt1,Hpse,Hsp90b1,Hspa5,Hspbp1,Htra2,Ide,Ids,Ier3,Il10,Il17ra,Ins2,Isg15,Itch,Itpa,Ivd,Jkamp,Kat2b,Kctd17,Kctd2,Kif14,Klhdc1,Klhdc3,Klhl20,Klhl3,Klhl42,Klhl8,Lamp2,Laptm4b,Ldlr,Lgmn,Lipa,Lnx1,Lonp1,Lpcat1,Lrp1,Lta4h,Ltn1,Mad2l1,Malt1,Map1a,Map3k1,Mdm2,Mdm4,Mib1,Mlycd,Msn,Mthfs,Mthfsl,Mtrr,Myc,Mylip,N4bp1,Ncf1,Ndfip1,Ndufa13,Nedd4,Nedd4l,Nedd8,Neu3,Nfe2l2,Nln,Nlrp1b,Nop53,Nos3,Notch1,Nqo1,Nsf,Nt5c,Nt5c2,Nt5e,Nt5m,Ntan1,Ntaq1,Nub1,Nudt1,Nudt13,Nudt7,Nudt9,Oat,Oaz1,Oaz2,Oaz3,Odc1,Os9,Otud7b,Ovgp1,Pabir1,Pank4,Paox,Pbk,Pcnp,Pcyox1,Pcyox1l,Pdcl3,Pde4a,Pdlim2,Pfkl,Pfkm,Pgam1,Pglyrp1,Pgpep1,Phb1,Phf20l1,Pja1,Pkm,Pla2g15,Pla2g6,Plk1,Plk2,Plk3,Pmaip1,Pnp2,Ppargc1a,Ppat,Ppm1k,Ppp1r11,Ppp2ca,Ppp2cb,Ppt1,Prep,Prkaa1,Prkaca,Prkcd,Prpf19,Prxl2c,Psap,Psen1,Psen2,Psma1,Psma2,Psma3,Psma4,Psma5,Psma7,Psmb1,Psmb11,Psmb2,Psmb3,Psmb5,Psmb9,Psmc1,Psmc4,Psmd10,Psmd11,Psmd8,Psme1,Psme2,Pten,Ptk2,Ptpn3,Pttg1ip,Pycr3,Rack1,Rad23a,Rad23b,Rbbp6,Rchy1,Rcn3,Renbp,Rffl,Rhbdd1,Rhbdd3,Rhbdf1,Rhobtb3,Ric1,Rida,Rnf10,Rnf11,Rnf114,Rnf115,Rnf121,Rnf125,Rnf128,Rnf130,Rnf139,Rnf144a,Rnf144b,Rnf145,Rnf149,Rnf166,Rnf167,Rnf185,Rnf19a,Rnf19b,Rnf20,Rnf216,Rnf41,Rnf43,Rnf5,Rnft1,Rpgr,Rpl5,Rps7,Rptor,Rybp,Samd9l,Samhd1,Sardh,Sarm1,Sat1,Scly,Sdf2l1,Sec22b,Sec61b,Sel1l,Selenos,Serpinb1a,Serpine2,Sf3b3,Sgpl1,Sh3bgrl,Sh3rf1,Shmt1,Sirt2,Skp2,Slc16a3,Slc17a9,Slc2a6,Slc6a8,Slc9a1,Smad3,Smad4,Smpd2,Smpdl3a,Smpdl3b,Smurf1,Smurf2,Snx1,Snx33,Snx5,Snx9,Socs5,Spop,Spsb1,Spsb2,Sqstm1,St14,Stat3,Styx-ps,Sumo1,Sumo2,Tbl1x,Tbl1xr1,Tbx21,Tdpoz4,Tdpoz8,Tet1,Tet3,Tgfb1,Tgfb1i1,Thnsl2,Timp2,Tmem106b,Tmem132a,Tmem67,Tmtc3,Tmub1,Tmx1,Tnfaip3,Tnfrsf1b,Tollip,Tpi1,Traf2,Trex1,Trib1,Trib2,Trim13,Trim2,Trim24,Trim25,Trim26,Trpc4ap,Tspan17,Ttc3,Uba6,Uba7,Ubac2,Ubb,Ube2b,Ube2c,Ube2d1,Ube2j1,Ube2l6,Ube2n,Ube2r2,Ube2z,Ube3d,Ube4a,Ubqln4,Ubr1,Ubr2,Ubxn11,Ubxn2a,Ubxn4,Ubxn8,Ucp2,Ufl1,Uhrf1,Usp22,Usp28,Utp25,Vcp,Vps11,Vps25,Vps37b,Vps4a,Vps54,Wdr81,Xdh,Yod1,Zbtb20,Zbtb7a,Zdhhc2,Zmpste24,Znrf1,Znrf2,Znrf3,Zranb1,Zyg11b"
"872","GO:2000145","regulation of cell motility",997,390,322.29,375,0.02669,2e-06,"Abcc1,Abhd2,Abhd6,Abi3,Abr,Acp5,Actg1,Actn4,Actr3,Acvr1,Acvr1b,Acvr1c,Acvrl1,Ada,Adam10,Adam15,Adam17,Adam8,Adam9,Adgrg1,Adipor1,Adipor2,Afdn,Ager,Ago2,Aif1,Akirin1,Akt1,Akt2,Aldoa,Amotl1,Angpt2,Ano6,Anxa1,Anxa5,Apc,Appl2,Arf6,Arhgap18,Arhgap4,Arhgef39,Arpc2,Arsb,Atm,Atp2b4,Atp5f1b,Atp7a,Bcar1,Bcl2,Bcr,Bex6,Bmp7,Bmpr1a,Bmpr2,Braf,Brms1,Bsg,Calr,Camk1d,Camk2a,Camk2b,Camk2d,Carmil1,Casp8,Cass4,Ccdc125,Ccl20,Ccl5,Ccn4,Ccr1,Ccr2,Ccr5,Ccr6,Ccr7,Cd151,Cd200r1,Cd47,Cd74,Cd81,Cd9,Cd99l2,Cdc42,Cdk5,Cdkn1b,Cep43,Cers2,Chst2,Cib1,Cited2,Cln3,Col18a1,Col1a1,Coro1a,Coro1b,Cripto,Csf1,Csnk2b,Ctnna1,Ctsh,Cx3cr1,Cxcl10,Cxcl13,Cxcl17,Cxcr3,Cxcr4,Dab2ip,Dag1,Dapk3,Diaph1,Dlg5,Dnaja4,Dock4,Dock8,Dpp4,Dusp1,Dusp10,Dusp3,Ecm1,Egr1,Elp5,Emilin1,Eng,Enpp2,Epb41l5,Epcam,Ets1,Evl,F2r,Fam110c,Fas,Fbxo31,Fbxo5,Fer,Fgf16,Fgr,Foxp1,Frmd5,Fubp1,Furin,Fut7,Fuz,Gata3,Gcnt1,Gna12,Gnai2,Gpld1,Gpr18,Gpr183,Gpsm3,Grb7,Grn,Gsk3b,Gstp1,Gstp2,Gtpbp4,Hbegf,Hdac1,Hdac6,Hdac7,Hgf,Hif1a,Hmgb1,Hras,Hspa5,Hspb1,Icam1,Igf1r,Igsf8,Il18,Il1rn,Il6st,Ilk,Ing2,Inpp5f,Insl3,Iqgap1,Irs2,Itga2,Itga3,Itga4,Itga5,Itga6,Itgav,Itgb1,Itgb1bp1,Itgb3,Jag1,Jak2,Jcad,Jun,Jup,Kif14,Kif20b,Kit,Kitl,Lama3,Lamc2,Lbp,Ldlrad4,Lef1,Lgals3,Lgmn,Lmna,Lmo4,Lrp1,Lyn,Macf1,Madcam1,Map2k3,Map3k1,Map3k3,Map4k4,Mapk1,Mapre2,Maz,Mctp1,Mdm2,Mien1,Mkks,Mmp14,Mpp1,Msn,Myadm,Myc,Myh9,Myo1c,Myo1f,Myo5a,Mysm1,Nbl1,Ndrg4,Nfe2l2,Ninj1,Nipbl,Nod2,Nos3,Notch1,Nox1,Nr4a3,Nrp1,Nsmf,Ntn1,Ntng2,Ntrk3,Numb,P2rx4,Pak1,Pdcd6,Pde4d,Pdpk1,Pecam1,Pfn2,Phlda2,Pik3cd,Pik3cg,Pik3r1,Pkp2,Plekhg3,Plk2,Plxna1,Plxna2,Plxnb2,Plxnc1,Plxnd1,Postn,Pparg,Ppargc1a,Ppm1f,Prag1,Prex1,Prkca,Prkd2,Prox1,Ptafr,Pten,Ptger3,Ptger4,Ptk2,Ptpn22,Ptprj,Pycard,Rab11a,Rabgef1,Rac1,Rack1,Rapgef2,Rapgef4,Rffl,Rgcc,Rhob,Rhoc,Rhod,Rigi,Rin2,Rin3,Ripk3,Ripor1,Ripor2,Rnf20,Rnf41,Rock1,Rps6kb1,Rras,Rras2,Rreb1,Rtn4,S100a11,S1pr1,S1pr2,Sap30,Sdc3,Sdc4,Sele,Selenok,Sell,Selp,Sema3f,Sema4a,Sema4b,Serpine1,Serpinf1,Sfrp2,Sh3bp1,Shtn1,Sin3a,Slamf1,Slc8b1,Smad3,Smurf2,Snai2,Sod2,Sp1,Sp100,Spata13,Spint2,Spn,Spred1,Src,Srgap2,Srgap3,Ssh1,Ssh2,Ssx2ip,St3gal4,Stap1,Stat3,Stat5a,Stat5b,Stk10,Stk26,Stk39,Stk4,Stmn1,Suds3,Sun2,Svbp,Swap70,Syde1,Syne2,Tbxa2r,Tet1,Tgfb1,Tgfbr1,Tgfbr3,Thbs1,Tiam1,Tirap,Tlr2,Tmigd1,Tmsb10,Tmsb15b1,Tmsb15b2,Tnfrsf18,Tnfsf4,Tradd,Trf,Trib1,Trp53,Trp53inp1,Ube2i,Ulk4,Vegfc,Vim,Vsir,Wnk1,Xcl1,Ythdf3,Zc3h12a,Zfp703,Zswim6"
"873","GO:0032507","maintenance of protein location in cell",71,40,22.95,502,0.02682,2.5e-05,"Adcy6,Akt1,Ank3,Arl2bp,Bard1,Cdk5,Chchd10,Dbn1,Dzip1,Gja1,Golph3,Grik5,Grk2,Hk1,Hk2,Hnrnpu,Hspa5,Insig2,Kdelr2,Kdelr3,Morc3,Os9,Pink1,Rangap1,Rer1,Scin,Sp100,Srgn,Sun2,Taf8,Tmed2,Tmsb10,Tmsb15b1,Tmsb15b2,Tmsb15l,Tspo,Twf1,Twf2,Txn1,Vps13c"
"874","GO:0001932","regulation of protein phosphorylation",950,384,307.09,264,0.02688,4.5e-08,"2610042L04Rik,Abi2,Abi3,Acvr1,Adam17,Adam9,Adar,Adipor2,Adnp,Adrb2,Agap2,Ager,Aif1,Akt1,Akt2,Als2,Ang,Anxa2,Apc,Aplp2,Areg,Arhgef5,Arl2bp,Arrb2,Atg14,Atp2b4,Aurkb,Axin2,Bag1,Bak1,Bax,Bcl2,Birc5,Bmpr2,Bora,Braf,Cab39,Camk2n1,Casp3,Cass4,Cav2,Ccl5,Ccn2,Ccna2,Ccnb1,Ccnb2,Ccnd3,Ccne2,Ccng1,Ccng2,Ccni,Ccnj,Ccnjl,Ccr7,Cd3e,Cd44,Cd74,Cd80,Cd86,Cdc25b,Cdc37,Cdca8,Cdk12,Cdk2ap1,Cdk2ap1rt,Cdk5,Cdkn1a,Cdkn1b,Cdkn1c,Cdkn2a,Cdkn2b,Cdkn2c,Cdkn2d,Cenpe,Cep43,Cep85,Cib1,Clcf1,Clip3,Cln3,Clspn,Cnksr3,Cops8,Crebl2,Cripto,Csf1,Csnk1d,Ctdsp2,Ctdspl,Ctnnd1,Cx3cr1,Cxcr4,Dab2ip,Daxx,Dbndd2,Dmd,Dnajc10,Dtnbp1,Dusp1,Dusp10,Dusp16,Dusp19,Dusp3,Dvl2,Ect2,Ednrb,Ehd4,Eif2ak3,Eif4g1,Eng,Enpp1,Enpp2,Erbb2,Ern1,Erp29,Errfi1,Etaa1,Ezh2,Fas,Fer,Fgd4,Fgf16,Fgr,Flt3l,Fnip2,Fyn,Fzd5,Gadd45b,Gadd45g,Gata1,Gfra1,Gnaq,Gnas,Gprc5a,Gprc5b,Grk2,Gsk3b,Gskip,Gstp1,Gstp2,Gstp3,Gtpbp4,Hbegf,Hcls1,Hdac6,Heg1,Hgf,Higd1a,Hipk3,Hmgb1,Hras,Hsf1,Hspa2,Hspb1,Ibtk,Icam1,Ifnar1,Ighm,Il18,Il2,Il6,Il6ra,Il6st,Il7,Il9r,Ilk,Impact,Incenp,Inpp5f,Ins2,Iqgap1,Irak1,Itga5,Itgb1,Itgb1bp1,Itgb3,Itpkb,Jak2,Jun,Kat2b,Kif14,Kit,Kitl,Kndc1,Kras,Ksr1,Lat,Lats2,Lax1,Lif,Lilrb4a,Lilrb4b,Lime1,Lonp1,Lrp6,Lrrk1,Ltf,Lyn,Macroh2a1,Magi3,Malt1,Map2k3,Map3k1,Map3k4,Map3k5,Map4k2,Mapk1,Mapre3,Mical1,Mmd,Mob1b,Mob3b,Mre11a,Mt3,Mvp,Myadm,Mydgf,Nbn,Nck2,Ncl,Ndufs4,Nf2,Niban1,Nod2,Nolc1,Nop53,Npm1,Nptn,Nras,Nrp1,Ntrk3,Osm,Pak1,Pard3,Pard6a,Pbk,Pdcl3,Pde4d,Pecam1,Peli2,Pfn2,Phb1,Phlpp1,Pik3ca,Pik3cg,Pik3r1,Pik3r5,Pik3r6,Pim1,Pink1,Pkia,Pkig,Pla2g6,Plaur,Plec,Plk1,Plxnb2,Pparg,Ppargc1a,Ppm1e,Ppm1f,Ppp1r9b,Ppp2ca,Ppp2r3c,Ppp2r5d,Prkaa1,Prkar1a,Prkar1b,Prkar2a,Prkca,Prkcd,Prkch,Prkcz,Prlr,Prmt2,Prnp,Prox1,Psen1,Psen2,Psmd10,Psrc1,Pten,Ptger3,Ptger4,Ptk2,Ptpn13,Ptpn22,Ptpn5,Ptpn6,Ptprj,Pwp1,Pycard,Rabgef1,Rac1,Rack1,Rad51,Ralb,Ralbp1,Rapgef2,Rasgrp1,Rassf2,Rgcc,Rictor,Ripk3,Ropn1l,Rps3,Rptor,Rtraf,S1pr2,Samsn1,Sesn2,Sfn,Sfrp2,Sh2d3c,Sh3bp5,Sirt2,Slc11a1,Slco3a1,Slfn1,Smad7,Smyd3,Snx9,Socs3,Socs5,Sod1,Spn,Spred1,Spry1,Sqstm1,Src,Stil,Stk11,Stk38,Stk4,Stox1,Tab2,Tada2a,Tardbp,Tfap4,Tgfb1,Thbs1,Tirap,Tlr1,Tlr7,Tmed2,Tmigd1,Tnfaip3,Tnfrsf18,Tnfrsf1a,Tnfrsf4,Tnfsf11,Tnik,Tnk2,Tpd52l1,Tpx2,Traf2,Traf4,Traf6,Trib1,Trib2,Trim65,Trp53,Trpc6,Trpt1,Tsacc,Tspan9,Tspyl2,Ttn,Twf1,Txn1,Ubash3b,Unc119,Uvrag,Vegfc,Vps25,Wdfy2,Wnk4,Xdh,Xrcc6,Zbed3,Zc3h12a,Zfp592,Zfyve28,Zgpat"
"875","GO:0007599","hemostasis",161,64,52.04,1805,0.02698,0.02772,"Ano6,Anxa2,Anxa5,Anxa7,Ap3b1,Axl,Cd40lg,Cd9,Dtnbp1,Enpp4,Entpd1,Entpd2,Evl,F13a1,F2r,F2rl2,Fundc2,Fzd6,Gata1,Gnaq,Gnas,Hgfac,Hps1,Hps4,Hpse,Il6,Il6ra,Itgb3,Jak2,Klkb1,Lilrb4a,Lyn,Mertk,Mfsd2b,Nbeal2,Nfe2l2,Pdia4,Pear1,Plat,Plaur,Plek,Prdx2,Prkca,Prkcd,Prkcq,Psg23,Ptpn6,Ptprj,Selp,Serpinc1,Serpine1,Serpine2,Sh2b3,St3gal4,Stxbp1,Tbxa2r,Tfpi,Thbs1,Tmx1,Tspan9,Txk,Tyro3,Ubash3b,Vkorc1"
